Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
RataHembra3,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,0,0,0,0
RataHembra3,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,2,1,0,1
RataHembra3,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,3,0,1,2
RataHembra3,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,0,1,2
RataHembra4,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
RataHembra4,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,0,0,0,0
RataHembra4,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,1,0,1,0
RataHembra4,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,3,0,1,2
RataHembra4,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,2,0,1
RataHembra5,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
RataHembra5,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,1,0,0,1
RataHembra5,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,3,0,2,1
RataHembra5,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,3,0,1,2
RataHembra5,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,1,0,2
HemrbaDia2,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
HemrbaDia2,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,0,0,0,0
HemrbaDia2,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,3,0,3,0
HemrbaDia2,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,3,1,2,0
HemrbaDia2,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,3,0,0
HemrbaDia3,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
HemrbaDia3,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,0,0,0,0
HemrbaDia3,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,3,1,2,0
HemrbaDia3,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,3,1,2,0
HemrbaDia3,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,3,0,0
HemrbaDia4,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
HemrbaDia4,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5","0,127","12,718",12,3,1,0,1,0
HemrbaDia4,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5","0,156","15,601",15,3,2,0,0,1
HemrbaDia4,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9","0,174","17,403",18,3,2,1,0,1
HemrbaDia4,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6","0,215","21,505",22,3,3,0,0,3
MachoDia1,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoDia1,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,0,1,0
MachoDia1,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,0,2,0
MachoDia1,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,1,1,0
MachoDia1,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,0,0,3
MachoDia2,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoDia2,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,1,0,0,0
MachoDia2,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,1,0,1,0
MachoDia2,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,0,0,1
MachoDia2,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,1,0,2
MachoDia3,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoDia3,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5","0,127","12,718",12,3,0,0,0,0
MachoDia3,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5","0,156","15,601",15,3,2,0,1,1
MachoDia3,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9","0,174","17,403",18,3,2,0,0,2
MachoDia3,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6","0,215","21,505",22,3,3,1,0,2
MachoNocturno1,PuestaAPunto,Naive,Joven,M,00am,1,"18,8","0,092","9,179",8,3,0,0,0,0
MachoNocturno1,PuestaAPunto,Naive,Joven,M,00am,2,"17,5","0,127","12,718",12,3,2,0,2,0
MachoNocturno1,PuestaAPunto,Naive,Joven,M,00am,3,"16,5","0,156","15,601",15,3,2,0,2,0
MachoNocturno1,PuestaAPunto,Naive,Joven,M,00am,4,"15,9","0,174","17,403",18,3,3,0,2,1
MachoNocturno1,PuestaAPunto,Naive,Joven,M,00am,5,"14,6","0,215","21,505",22,3,3,3,0,0
MachoNocturno2,PuestaAPunto,Naive,Joven,M,00am,1,"18,8","0,092","9,179",8,3,0,0,0,0
