Animal,Exp,Tratamiento,Edad,Sexo,Hora,Intensidad,Lux,IM/100,IMdec,IM,TotalEstimulos,Respuestas,Freezing,HeadBobbing,Rearing
2590,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5",127,"12,718",12,3,0,0,0,0
2590,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5",156,"15,601",15,3,1,0,1,0
2590,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9",174,"17,403",18,3,3,0,1,2
2590,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6",215,"21,505",22,3,3,2,0,1
2591,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
2591,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5",127,"12,718",12,3,1,0,0,1
2591,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5",156,"15,601",15,3,3,0,2,1
2591,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9",174,"17,403",18,3,3,0,1,2
2591,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6",215,"21,505",22,3,3,1,0,2
2593,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
2593,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5",127,"12,718",12,3,0,0,0,0
2593,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5",156,"15,601",15,3,3,0,3,0
2593,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9",174,"17,403",18,3,3,1,2,0
2593,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6",215,"21,505",22,3,3,3,0,0
2594,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
2594,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5",127,"12,718",12,3,0,0,0,0
2594,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5",156,"15,601",15,3,3,1,2,0
2594,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9",174,"17,403",18,3,3,1,2,0
2596,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6",215,"21,505",22,3,3,3,0,0
2596,PuestaAPunto,Naive,Joven,H,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
2596,PuestaAPunto,Naive,Joven,H,2pm,2,"17,5",127,"12,718",12,3,1,0,1,0
2596,PuestaAPunto,Naive,Joven,H,2pm,3,"16,5",156,"15,601",15,3,2,0,0,1
2596,PuestaAPunto,Naive,Joven,H,2pm,4,"15,9",174,"17,403",18,3,2,1,0,1
2596,PuestaAPunto,Naive,Joven,H,2pm,5,"14,6",215,"21,505",22,3,3,0,0,3
1174,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
1174,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,0,1,0
1174,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,0,2,0
1174,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,1,1,0
1174,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,0,0,3
1175,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
1175,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5",127,"12,718",12,3,1,0,0,0
1175,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5",156,"15,601",15,3,1,0,1,0
1175,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,0,0,1
1175,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,1,0,2
1176,PuestaAPunto,Naive,Joven,M,2pm,1,"18,8",92,"9,179",8,3,0,0,0,0
1176,PuestaAPunto,Naive,Joven,M,2pm,2,"17,5",127,"12,718",12,3,0,0,0,0
1176,PuestaAPunto,Naive,Joven,M,2pm,3,"16,5",156,"15,601",15,3,2,0,1,1
1176,PuestaAPunto,Naive,Joven,M,2pm,4,"15,9",174,"17,403",18,3,2,0,0,2
1176,PuestaAPunto,Naive,Joven,M,2pm,5,"14,6",215,"21,505",22,3,3,1,0,2
1184,PuestaAPunto,Naive,Joven,M,00am,1,"18,8",92,"9,179",8,3,0,0,0,0
1184,PuestaAPunto,Naive,Joven,M,00am,2,"17,5",127,"12,718",12,3,2,0,2,0
1184,PuestaAPunto,Naive,Joven,M,00am,3,"16,5",156,"15,601",15,3,2,0,2,0
1184,PuestaAPunto,Naive,Joven,M,00am,4,"15,9",174,"17,403",18,3,3,0,2,1
1184,PuestaAPunto,Naive,Joven,M,00am,5,"14,6",215,"21,505",22,3,3,3,0,0
1185,PuestaAPunto,Naive,Joven,M,00am,1,"18,8",92,"9,179",8,3,0,0,0,0
1185,PuestaAPunto,Naive,Joven,M,00am,2,"17,5",127,"12,718",12,3,2,0,2,0
1185,PuestaAPunto,Naive,Joven,M,00am,3,"16,5",156,"15,601",15,3,3,1,2,0
1185,PuestaAPunto,Naive,Joven,M,00am,4,"15,9",174,"17,403",18,3,2,1,1,0
